naics_code,feature_name
446120,cosmetics_beauty_supplies_and_perfume_stores
446130,optical_goods_stores
446191,food_health_supplement_stores
446199,all_other_health_and_personal_care_stores
447110,gasoline_stations_with_convenience_stores
447190,other_gasoline_stations
448110,mens_clothing_stores
448120,womens_clothing_stores
448130,childrens_and_infants_clothing_stores
448140,family_clothing_stores
448150,clothing_accessories_stores
448190,other_clothing_stores
448210,shoe_stores
448310,jewelry_stores
448320,luggage_and_leather_goods_stores
451110,sporting_goods_stores
451120,hobby_toy_and_game_stores
451130,sewing_needlework_and_piece_goods_stores
451140,musical_instrument_and_supplies_stores
451211,book_stores
452210,department_stores
452319,all_other_general_merchandise_stores
453110,florists
453210,office_supplies_and_stationery_stores
453220,gift_novelty_and_souvenir_stores
453310,used_merchandise_stores
453910,pet_and_pet_supplies_stores
453920,art_dealers
453991,tobacco_stores
453998,all_other_miscellaneous_store_retailers_except_tobacco_stores
454310,fuel_dealers
482111,line_haul_railroads
484210,used_household_and_office_goods_moving
485210,interurban_and_rural_bus_transportation
485999,all_other_transit_and_ground_passenger_transportation
488119,other_airport_operations
488410,motor_vehicle_towing
488510,freight_transportation_arrangement
488991,packing_and_crating
491110,postal_service
492110,couriers_and_express_delivery_services
493110,general_warehousing_and_storage
493130,farm_product_warehousing_and_storage
511130,book_publishers
511191,greeting_card_publishers
512131,motion_picture_theaters_except_drive_ins
515210,cable_and_other_subscription_programming
517311,wired_telecommunications_carriers
517312,wireless_telecommunications_carriers_except_satellite
517911,telecommunications_resellers
517919,all_other_telecommunications
518210,data_processing_hosting_and_related_services
519120,libraries_and_archives
522110,commercial_banking
522120,savings_institutions
522130,credit_unions
522291,consumer_lending
522298,all_other_nondepository_credit_intermediation
522310,mortgage_and_nonmortgage_loan_brokers
522320,financial_transactions_processing_reserve_and_clearinghouse_activities
522390,other_activities_related_to_credit_intermediation
523110,investment_banking_and_securities_dealing
523120,securities_brokerage
523920,portfolio_management
523930,investment_advice
523999,miscellaneous_financial_investment_activities
524113,direct_life_insurance_carriers
524126,direct_property_and_casualty_insurance_carriers
524127,direct_title_insurance_carriers
524128,other_direct_insurance_except_life_health_and_medical_carriers
524210,insurance_agencies_and_brokerages
525990,other_financial_vehicles
531120,malls
531130,lessors_of_miniwarehouses_and_self_storage_units
531190,lessors_of_other_real_estate_property
531210,offices_of_real_estate_agents_and_brokers
532111,passenger_car_rental
532120,truck_utility_trailer_and_rv_recreational_vehicle_rental_and_leasing
532210,consumer_electronics_and_appliances_rental
532282,video_tape_and_disc_rental
532289,all_other_consumer_goods_rental
532299,532299
532310,general_rental_centers
532412,construction_mining_and_forestry_machinery_and_equipment_rental_and_leasing
532490,other_commercial_and_industrial_machinery_and_equipment_rental_and_leasing
541213,tax_preparation_services
541715,research_and_development_in_the_physical_engineering_and_life_sciences_except_nanotechnology_and_biotechnology
541810,advertising_agencies
541860,direct_mail_advertising
541921,photography_studios_portrait
541940,veterinary_services
551111,offices_of_bank_holding_companies
551112,offices_of_other_holding_companies
561311,employment_placement_agencies
561431,private_mail_centers
561499,all_other_business_support_services
561510,travel_agencies
561621,security_systems_services_except_locksmiths
561710,exterminating_and_pest_control_services
561720,janitorial_services
561730,landscaping_services
561740,carpet_and_upholstery_cleaning_services
561790,other_services_to_buildings_and_dwellings
561990,all_other_support_services
562211,hazardous_waste_treatment_and_disposal
562212,solid_waste_landfill
562910,remediation_services
611110,elementary_and_secondary_schools
611210,junior_colleges
611310,colleges_universities_and_professional_schools
611410,business_and_secretarial_schools
611420,computer_training
611511,cosmetology_and_barber_schools
611512,flight_training
611519,other_technical_and_trade_schools
611610,fine_arts_schools
611620,sports_and_recreation_instruction
611630,language_schools
611691,exam_preparation_and_tutoring
611692,automobile_driving_schools
